movie,Bechdel_test
Angry Video Game Nerd: The Movie,pass
Annabelle,pass
Annie,pass
Appropriate Behavior,pass
Ardor,nopass
As Above So Below,pass
Asian School Girls,pass
Ask Me Anything,pass
Atlas Shrugged: Who Is John Galt?,pass
Automata,nopass
Avis de mistral,pass
Awesome Asian Bad Guys,nopass
The Babadook,pass
The Bag Man,nopass
Barbie and the Secret Door,pass
Barbie: The Pearl Princess,pass
Barefoot,pass
Batman: Assault on Arkham,pass
Before I Go to Sleep,pass
Before We Go,pass
Begin Again,pass
Belle,pass
Better Living Through Chemistry,nopass
Beyond the Lights,pass
Big Eyes,pass
Big Game,nopass
Big Hero 6,pass
Birdman,pass
Black Sea,nopass
Blended,pass
The Book of Life,pass
The Boxtrolls,nopass
Boy Meets Girl,pass
Boyhood,pass
Brick Mansions,pass
Cake,pass
Calvary,nopass
Camp Takota,pass
Captain America: The Winter Soldier,pass
Cesar Chavez,pass
Chef,nopass
Citizenfour,nopass
Clouds of Sils Maria,pass
Clown,pass
Comet,nopass
Conducta,pass
Cooties,nopass
Court,nopass
Creep,nopass
Cuban Fury,nopass
Cut Bank,pass
Da Sweet Blood of Jesus,pass
The Damned Thing,nopass
Dark Was the Night,nopass
Date and Switch,nopass
Dawn of the Planet of the Apes,nopass
Dead Girls,pass
Dead Snow 2,pass
Dear White People,pass
Deliver Us From Evil,nopass
Der kleine Drache Kokosnuss,nopass
Der Kleine Medicus - Geheimnisvolle Mission im Korper,pass
Der Kreis,nopass
The Disappearance of Eleanor Rigby: Her,pass
The Disappearance of Eleanor Rigby: Them,pass
Divergent,pass
Dohee-ya,pass
Dolares de arena (Sand Dollars),pass
Dolphin Tale 2,pass
Dracula Untold,nopass
Draft Day,nopass
The Drop,nopass
Dumb and Dumber 2,pass
Dyke Hard,pass
Earth To Echo,nopass
East Side Sushi,pass
Eat with Me,pass
Edge of Tomorrow,nopass
Effie Gray,pass
Ei Kiitos,nopass
Ein Geschenk der Gotter,pass
Ek Villain,nopass
El Niño,nopass
Electricity,pass
En duva satt på en gren och funderade på tillvaron,nopass
The Equalizer,nopass
Escobar: Paradise Lost,nopass
Every Secret Thing,pass
Exodus: Gods and Kings,nopass
The Expendables 3,nopass
Extirpador de Idolatrias,pass
The Falling,pass
The Fault in Our Stars,pass
Faults,pass
Feher isten,pass
Fields of the Dead,pass
Flowers in the Attic,pass
Fort Tilden,nopass
Foxcatcher,nopass
The Frame,pass
Frank,nopass
Frozen in Time,nopass
Fury,nopass
The Gabby Douglas Story,nopass
Gekijouban Hakuouki: Dainishou shikon soukyou,nopass
Get On Up,nopass
Girlhood,pass
Girltrash: All Night Long,pass
The Giver,pass
God Help the Girl,pass
God's Not Dead,pass
God's Pocket,nopass
Godzilla,nopass
Golden Era,nopass
Gone Girl,pass
The Good Lie,pass
Good People,pass
Gotham,pass
Grace of Monaco,pass
The Grand Budapest Hotel,nopass
Guardians of the Galaxy,pass
Gueros,nopass
H.,nopass
Haider,nopass
Happy Christmas,pass
Happy Valley,nopass
Hard Corner: Le Film,nopass
Heaven Is For Real,nopass
Hector and the Search for Happiness,nopass
Hercules,nopass
Highway,nopass
Hits,pass
The Hobbit: The Battle of the Five Armies,nopass
Hoje Eu Quero Voltar Sozinho,pass
The Homesman,nopass
Horrible Bosses 2,nopass
Housebound,pass
The Houses October Built,nopass
How to Steal a Dog / Gae-leul hoom-chi-neun wan-byeok-han bang-beob,pass
How to Train Your Dragon 2,nopass
The Hundred-Foot Journey,pass
The Hunger Games: Mockingjay - Part 1,pass
Hungry Hearts,nopass
I Call It Love,nopass
I Origins,pass
"I, Frankenstein",nopass
"Ich seh, Ich seh",nopass
If I Stay,pass
The Imitation Game,nopass
In the Courtyard,pass
The Inbetweeners 2,nopass
Infinitely Polar Bear,pass
Inherent Vice,nopass
Innocence,pass
Interstellar,pass
The Interview,nopass
Into the Storm,pass
Into the Woods,pass
Into the Woods,pass
It Follows,pass
Jack Ryan: Shadow Recruit,nopass
Jacky in the kingdom of women,pass
Jane the Virgin,pass
Jersey Boys,nopass
Jimmy's Hall,nopass
Joe,nopass
John Wick,nopass
Jongens,nopass
Ju-on: Owari no hajimari,pass
The Judge,nopass
Justice League: WAR,pass
Kingsman: The Secret Service,pass
Kraftidioten,nopass
"Kumiko, the Treasure Hunter",pass
La belle et la bete,pass
La crème de la crème,pass
La isla minima,nopass
Laggies,pass
Land Ho!,pass
The Last Five Years,nopass
Last Shift,pass
The Last: Naruto the Movie,nopass
Le Paradis,nopass
Learning to Drive,pass
The Legend of Hercules,nopass
The Lego Movie,pass
Let Us Prey,pass
Let's Be Cops,nopass
Leviathan,pass
Lies I Told My Little Sister,pass
Life Of Riley,nopass
Life Partners,pass
"Like Sunday, Like Rain",pass
Lizzie Borden Took An Ax,pass
The Lookalike,pass
Love & Mercy,nopass
Love Is Strange,nopass
"Love, Rosie",pass
Lucy,pass
Lugen,pass
Lust for Love,pass
Magic in the Moonlight,pass
Magical Girl,pass
Maleficent,pass
Mange tes morts,nopass
Maps to the Stars,pass
Margarita with a Straw,pass
Mass Extinction: Life at the Brink,nopass
The Maze Runner,nopass
Mega Shark vs. Mecha Shark,pass
Mercenaries,pass
Mike and I,nopass
Million Dollar Arm,nopass
Miss Meadows,pass
Mommy,pass
Moms' Night Out,pass
The Monuments Men,nopass
Moomins on the Riviera,pass
Mostly Ghostly: Have You Met My Ghoulfriend?,pass
Mr. Peabody and Sherman,nopass
Mr. Turner,nopass
Muppets Most Wanted,nopass
My Father Must Die,pass
My Little Pony: Equestria Girls - Rainbow Rocks,pass
My Old Lady,pass
Nar dyrene drommer,nopass
Near Death Experience,nopass
Need for Speed,nopass
Neighbors,pass
Night at the Museum: Secret of the Tomb,nopass
Nightcrawler,pass
No Good Deed,pass
Noah,pass
Non-Stop,pass
The Normal Heart,nopass
Nosferatu In Love,nopass
Not Cool,pass
The November Man,nopass
Obvious Child,pass
Ocho apellidos vascos,nopass
Oculus,pass
Omoide no Mani (When Marnie Was There),pass
The One I Love,pass
The Other Woman,pass
Ouija,pass
Our RoboCop Remake,pass
Out in the Night,pass
Out of the Dark,pass
Outcast,pass
The Pa Boys,nopass
Paddington,pass
Pane e burlesque,pass
Paper Planes,nopass
Parallels,pass
Paranormal Activity: The Marked Ones,nopass
Penguins of Madagascar,nopass
Perfect Sisters,pass
Phoenix,pass
The Pirate Fairy,pass
PK,nopass
